=== MALATAVADI REJECTED CORRECTIONS DETAIL ===
Plot       | Confidence | Ev Imp     | Shift (m)  | Safeguard                 | Detailed Reason
1905/22    | 0.2081     | 0.0104     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/23    | 0.7415     | 0.0633     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/24    | 0.1960     | 0.0838     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/25    | 0.1616     | 0.0119     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/26    | 0.8311     | 0.1144     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/27    | 0.2073     | 0.0496     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/28    | 0.1700     | 0.0359     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/29    | 0.4644     | 0.0179     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/3     | 0.2629     | 0.0381     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1905/30    | 0.1676     | 0.0044     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/31    | 0.6951     | 0.0100     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/32    | 0.3520     | 0.0096     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1905/33    | 0.3807     | 0.0102     | 10.20      | confidence_threshold      | Low confidence (0.3807 < 0.50)
1905/34    | 0.1691     | 0.0361     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/35    | 0.3153     | 0.0397     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1905/36    | 0.8218     | 0.0453     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/38    | 0.1234     | 0.0268     | 10.05      | baseline                  | Baseline flagging (area ratio)
1905/39    | 0.1914     | 0.1121     | 10.05      | baseline                  | Baseline flagging (area ratio)
1905/4     | 0.2092     | 0.0214     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/40    | 0.8140     | 0.0085     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/41    | 0.3522     | 0.0132     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1905/42    | 0.1221     | 0.0249     | 10.05      | baseline                  | Baseline flagging (area ratio)
1905/43    | 0.1688     | 0.0766     | 10.05      | baseline                  | Baseline flagging (area ratio)
1905/44    | 0.4775     | 0.1622     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1905/45    | 0.8226     | 0.2571     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1905/46    | 0.6677     | 0.0092     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/47    | 0.8117     | 0.0662     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/49    | 0.1967     | 0.0651     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/5     | 0.8278     | 0.0268     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/50    | 0.4380     | 0.0307     | 11.18      | baseline                  | Baseline flagging (alignment ambiguous)
1905/51    | 0.8195     | 0.0963     | 11.18      | baseline                  | Baseline flagging (overlap violation)
1905/52    | 0.5434     | 0.0407     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/53    | 0.6605     | 0.0278     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/54    | 0.1973     | 0.0521     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/55    | 0.4983     | 0.0171     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/56    | 0.3530     | 0.0138     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1905/57    | 0.4880     | 0.0129     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/58    | 0.1402     | 0.0428     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/59    | 0.6884     | 0.0045     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0045 < 0.035)
1905/60    | 0.1823     | 0.0341     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/61    | 0.2000     | 0.0000     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/62    | 0.5022     | 0.0654     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/63    | 0.1547     | 0.0696     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/64    | 0.7767     | 0.0791     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/66    | 0.6374     | 0.0139     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0139 < 0.035)
1905/67    | 0.5525     | 0.0194     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/68    | 0.5970     | 0.0182     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0182 < 0.035)
1905/69    | 0.5522     | 0.0195     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0195 < 0.035)
1905/70    | 0.5755     | 0.0047     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0047 < 0.035)
1905/71    | 0.8225     | 0.0279     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0279 < 0.035)
1905/72    | 0.7257     | 0.0166     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0166 < 0.035)
1905/73    | 0.7577     | 0.0057     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0057 < 0.035)
1905/74    | 0.1833     | 0.0241     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/75    | 0.2031     | 0.0230     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/76    | 0.3205     | 0.0318     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1905/77    | 0.8230     | 0.0827     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/78    | 0.2077     | 0.0539     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/79    | 0.2122     | 0.0603     | 10.20      | baseline                  | Baseline flagging (area ratio)
1905/8     | 0.4783     | 0.0216     | 10.20      | confidence_threshold      | Low confidence (0.4783 < 0.50)
1905/80    | 0.6165     | 0.0480     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/81    | 0.6117     | 0.0124     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/82    | 0.4580     | 0.0486     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1905/9     | 0.2230     | 0.0568     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1906       | 0.6757     | 0.0226     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0226 < 0.035)
1907       | 0.8223     | 0.0241     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0241 < 0.035)
1909       | 0.7951     | 0.0542     | 10.20      | baseline                  | Baseline flagging (overlap violation)
191        | 0.3756     | 0.0231     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1910       | 0.7878     | 0.0298     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0298 < 0.035)
1911       | 0.1929     | 0.0292     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1912       | 0.3034     | 0.0354     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1913       | 0.1841     | 0.0285     | 10.20      | baseline                  | Baseline flagging (area ratio)
1914       | 0.8016     | 0.0202     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1915       | 0.8220     | 0.0265     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0265 < 0.035)
1916       | 0.8055     | 0.0161     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0161 < 0.035)
1917       | 0.1468     | 0.0123     | 10.20      | baseline                  | Baseline flagging (area ratio)
1918       | 0.5897     | 0.0230     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1919       | 0.6024     | 0.0123     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0123 < 0.035)
192        | 0.2252     | 0.0588     | 10.20      | baseline                  | Baseline flagging (area ratio)
1921       | 0.8044     | 0.0014     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0014 < 0.035)
1922       | 0.7105     | 0.0285     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0285 < 0.035)
1923       | 0.2327     | 0.0600     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1924       | 0.1858     | 0.0837     | 10.20      | baseline                  | Baseline flagging (area ratio)
1925       | 0.8036     | 0.0299     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0299 < 0.035)
1926       | 0.3726     | 0.0324     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1927       | 0.6730     | 0.0049     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1928       | 0.7045     | 0.0282     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0282 < 0.035)
1929/A     | 0.8435     | 0.0222     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0222 < 0.035)
1929/B     | 0.8481     | 0.0222     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0222 < 0.035)
1929/C     | 0.8382     | 0.0036     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0036 < 0.035)
193        | 0.6155     | 0.0451     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1930       | 0.8092     | 0.0334     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1931       | 0.5054     | 0.0128     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1932       | 0.8100     | 0.0240     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0240 < 0.035)
1933       | 0.8121     | 0.0072     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0072 < 0.035)
1934       | 0.7627     | 0.0000     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0000 < 0.035)
1935       | 0.1846     | 0.0196     | 10.20      | baseline                  | Baseline flagging (area ratio)
1936       | 0.4319     | 0.0170     | 10.20      | confidence_threshold      | Low confidence (0.4319 < 0.50)
1937       | 0.8018     | 0.0195     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0195 < 0.035)
1938       | 0.4324     | 0.0220     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1939       | 0.7174     | 0.0177     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0177 < 0.035)
194        | 0.3928     | 0.0348     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1940/A     | 0.8253     | 0.0275     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0275 < 0.035)
1941/B     | 0.8234     | 0.0167     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0167 < 0.035)
1941/C     | 0.8171     | 0.0000     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0000 < 0.035)
1942       | 0.6575     | 0.0217     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0217 < 0.035)
1943       | 0.1757     | 0.0383     | 10.20      | baseline                  | Baseline flagging (area ratio)
1944       | 0.1478     | 0.0466     | 10.20      | baseline                  | Baseline flagging (area ratio)
1945       | 0.2876     | 0.0591     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1946       | 0.1913     | 0.0221     | 10.20      | baseline                  | Baseline flagging (area ratio)
1947/A     | 0.1749     | 0.0192     | 10.20      | baseline                  | Baseline flagging (area ratio)
1947/B     | 0.4958     | 0.0116     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1948       | 0.7346     | 0.0140     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1949       | 0.1554     | 0.0235     | 10.20      | baseline                  | Baseline flagging (area ratio)
195        | 0.8523     | 0.0308     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1950       | 0.8251     | 0.0219     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0219 < 0.035)
1951       | 0.8269     | 0.0173     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0173 < 0.035)
1952/A     | 0.1549     | 0.0292     | 10.20      | baseline                  | Baseline flagging (area ratio)
1952/B     | 0.2556     | 0.0247     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1953       | 0.4925     | 0.0257     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1955       | 0.1447     | 0.0910     | 11.05      | baseline                  | Baseline flagging (area ratio)
1956       | 0.1872     | 0.1213     | 11.05      | baseline                  | Baseline flagging (area ratio)
1957       | 0.6884     | 0.1424     | 11.00      | baseline                  | Baseline flagging (overlap violation)
1958       | 0.7952     | 0.0163     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1959       | 0.4225     | 0.0173     | 10.05      | confidence_threshold      | Low confidence (0.4225 < 0.50)
1960       | 0.1043     | 0.0480     | 11.00      | baseline                  | Baseline flagging (area ratio)
1961       | 0.5181     | 0.0062     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0062 < 0.035)
1964       | 0.8229     | 0.0457     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1965       | 0.1754     | 0.0357     | 10.20      | baseline                  | Baseline flagging (area ratio)
1966       | 0.4164     | 0.0614     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1967       | 0.3512     | 0.0175     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1968       | 0.8152     | 0.0254     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1969       | 0.5733     | 0.0491     | 11.00      | baseline                  | Baseline flagging (alignment ambiguous)
196/A      | 0.1920     | 0.0070     | 10.20      | baseline                  | Baseline flagging (area ratio)
196/B      | 0.2627     | 0.0021     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
197        | 0.2130     | 0.0296     | 10.20      | baseline                  | Baseline flagging (area ratio)
1970       | 0.5665     | 0.0247     | 10.05      | baseline                  | Baseline flagging (alignment ambiguous)
1971/A     | 0.1439     | 0.1115     | 10.00      | baseline                  | Baseline flagging (area ratio)
1971/B     | 0.1112     | 0.1473     | 10.05      | baseline                  | Baseline flagging (area ratio)
1972       | 0.1921     | 0.0445     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1974       | 0.2932     | 0.1079     | 10.00      | baseline                  | Baseline flagging (low legacy conf)
1975       | 0.7584     | 0.0741     | 10.00      | baseline                  | Baseline flagging (overlap violation)
1976       | 0.2210     | 0.0228     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1977/1     | 0.1053     | 0.1318     | 11.18      | baseline                  | Baseline flagging (area ratio)
1977/2     | 0.7724     | 0.1241     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1977/3     | 0.7900     | 0.0632     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1978       | 0.2470     | 0.0761     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
198        | 0.4830     | 0.0343     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1980       | 0.1608     | 0.0832     | 10.20      | baseline                  | Baseline flagging (area ratio)
1981       | 0.7523     | 0.0369     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1982/1     | 0.1694     | 0.0713     | 10.20      | baseline                  | Baseline flagging (area ratio)
1982/2     | 0.7733     | 0.0422     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1982/3     | 0.5721     | 0.0195     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0195 < 0.035)
1982/4     | 0.8252     | 0.0320     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1982/5     | 0.4568     | 0.0566     | 10.20      | confidence_threshold      | Low confidence (0.4568 < 0.50)
1982/7     | 0.1632     | 0.0115     | 10.20      | baseline                  | Baseline flagging (area ratio)
1982/8     | 0.3343     | 0.0792     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1985       | 0.1623     | 0.0112     | 10.20      | baseline                  | Baseline flagging (area ratio)
1986       | 0.3245     | 0.0186     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1987       | 0.8248     | 0.0201     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0201 < 0.035)
1988       | 0.2021     | 0.0225     | 10.20      | baseline                  | Baseline flagging (area ratio)
1989       | 0.1665     | 0.0186     | 10.20      | baseline                  | Baseline flagging (area ratio)
1990       | 0.1398     | 0.0017     | 10.20      | baseline                  | Baseline flagging (area ratio)
1991       | 0.2053     | 0.1064     | 10.20      | baseline                  | Baseline flagging (area ratio)
1992       | 0.5848     | 0.0892     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1994       | 0.6296     | 0.0821     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1995       | 0.4565     | 0.0089     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1996       | 0.2014     | 0.0015     | 10.20      | baseline                  | Baseline flagging (area ratio)
1997/A     | 0.1857     | 0.0535     | 10.20      | baseline                  | Baseline flagging (area ratio)
1997/B     | 0.1812     | 0.0430     | 10.20      | baseline                  | Baseline flagging (area ratio)
1998       | 0.5313     | 0.0312     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0312 < 0.035)
1999       | 0.3254     | 0.0964     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
199/A      | 0.1920     | 0.0064     | 10.20      | baseline                  | Baseline flagging (area ratio)
199/B      | 0.2623     | 0.0731     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
20         | 0.4263     | 0.0406     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2000       | 0.1346     | 0.0654     | 10.05      | baseline                  | Baseline flagging (area ratio)
2002       | 0.4648     | 0.0463     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2003       | 0.4167     | 0.0000     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2004       | 0.3543     | 0.0325     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2005       | 0.4731     | 0.0661     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2006       | 0.3948     | 0.0391     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2007       | 0.5278     | 0.0427     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2008       | 0.1988     | 0.0498     | 10.20      | baseline                  | Baseline flagging (area ratio)
2009       | 0.3938     | 0.0629     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
201        | 0.8008     | 0.0278     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0278 < 0.035)
2010       | 0.4783     | 0.0222     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2011       | 0.5054     | 0.1318     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2012       | 0.7239     | 0.0656     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2014       | 0.2032     | 0.1290     | 10.20      | baseline                  | Baseline flagging (area ratio)
2015       | 0.6935     | 0.0898     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2017       | 0.6231     | 0.1402     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2018       | 0.3342     | 0.0183     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2019       | 0.5502     | 0.0102     | 10.20      | baseline                  | Baseline flagging (overlap violation)
202        | 0.2099     | 0.0282     | 10.20      | baseline                  | Baseline flagging (area ratio)
2020       | 0.5514     | 0.0134     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0134 < 0.035)
2021       | 0.7019     | 0.0059     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0059 < 0.035)
2023       | 0.4378     | 0.0725     | 10.20      | confidence_threshold      | Low confidence (0.4378 < 0.50)
2024       | 0.4128     | 0.0074     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2025       | 0.1733     | 0.0134     | 10.20      | baseline                  | Baseline flagging (area ratio)
2026       | 0.6586     | 0.0246     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2027       | 0.6287     | 0.0236     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2028       | 0.7321     | 0.0322     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2029       | 0.8193     | 0.0160     | 10.20      | baseline                  | Baseline flagging (overlap violation)
203        | 0.4626     | 0.0232     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2030       | 0.3736     | 0.0160     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2031       | 0.8137     | 0.0081     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2032       | 0.4383     | 0.0160     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2034       | 0.5922     | 0.0201     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0201 < 0.035)
2036       | 0.1977     | 0.0157     | 10.20      | baseline                  | Baseline flagging (area ratio)
2037       | 0.1866     | 0.1180     | 10.20      | baseline                  | Baseline flagging (area ratio)
2038       | 0.2035     | 0.0518     | 10.20      | baseline                  | Baseline flagging (area ratio)
2039       | 0.7190     | 0.0655     | 10.20      | baseline                  | Baseline flagging (overlap violation)
204        | 0.7079     | 0.0240     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2040       | 0.3041     | 0.0153     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2041       | 0.7446     | 0.0137     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0137 < 0.035)
2042       | 0.2027     | 0.0167     | 10.20      | baseline                  | Baseline flagging (area ratio)
2043       | 0.5527     | 0.0148     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0148 < 0.035)
2044       | 0.7846     | 0.0124     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0124 < 0.035)
2045       | 0.3495     | 0.0301     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
2046       | 0.4228     | 0.0766     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
2047       | 0.1698     | 0.0333     | 10.05      | baseline                  | Baseline flagging (area ratio)
2048       | 0.1933     | 0.0835     | 10.05      | baseline                  | Baseline flagging (area ratio)
2049       | 0.2459     | 0.0536     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
205        | 0.2973     | 0.0313     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2050       | 0.4779     | 0.0109     | 10.05      | baseline                  | Baseline flagging (overlap violation)
2052       | 0.7547     | 0.0163     | 10.05      | baseline                  | Baseline flagging (overlap violation)
2053       | 0.1328     | 0.0233     | 10.20      | baseline                  | Baseline flagging (area ratio)
2054       | 0.4144     | 0.0124     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2056       | 0.8319     | 0.0423     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2057       | 0.1960     | 0.0263     | 10.20      | baseline                  | Baseline flagging (area ratio)
2059/2     | 0.6052     | 0.0078     | 10.05      | baseline                  | Baseline flagging (alignment ambiguous)
2059/3     | 0.1660     | 0.0241     | 10.20      | baseline                  | Baseline flagging (area ratio)
2059/4     | 0.7427     | 0.0180     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2059/5     | 0.1723     | 0.0105     | 10.20      | baseline                  | Baseline flagging (area ratio)
2059/6     | 0.1631     | 0.0426     | 10.20      | baseline                  | Baseline flagging (area ratio)
206        | 0.8504     | 0.0312     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0312 < 0.035)
2060/A     | 0.2007     | 0.0564     | 10.20      | baseline                  | Baseline flagging (area ratio)
2060/B     | 0.2040     | 0.1238     | 10.20      | baseline                  | Baseline flagging (area ratio)
2061       | 0.4874     | 0.0095     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2062       | 0.5598     | 0.0242     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0242 < 0.035)
2063       | 0.1496     | 0.0288     | 10.20      | baseline                  | Baseline flagging (area ratio)
2064       | 0.1671     | 0.0167     | 10.20      | baseline                  | Baseline flagging (area ratio)
2065       | 0.2557     | 0.0105     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2066       | 0.1371     | 0.0226     | 10.20      | baseline                  | Baseline flagging (area ratio)
2067       | 0.8173     | 0.0072     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0072 < 0.035)
2067/1     | 0.1506     | 0.0720     | 10.05      | baseline                  | Baseline flagging (area ratio)
2067/2     | 0.3808     | 0.0405     | 10.05      | confidence_threshold      | Low confidence (0.3808 < 0.50)
2067/3     | 0.5760     | 0.0633     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2067/4     | 0.3856     | 0.0468     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2067/5     | 0.6978     | 0.0034     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2068       | 0.1745     | 0.0283     | 10.20      | baseline                  | Baseline flagging (area ratio)
2069       | 0.1844     | 0.0275     | 10.20      | baseline                  | Baseline flagging (area ratio)
2070       | 0.5403     | 0.0235     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0235 < 0.035)
2071       | 0.1599     | 0.0571     | 10.05      | baseline                  | Baseline flagging (area ratio)
2072       | 0.2305     | 0.0881     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2073       | 0.3854     | 0.0248     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2074       | 0.6270     | 0.0165     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2075       | 0.2068     | 0.0411     | 10.20      | baseline                  | Baseline flagging (area ratio)
2076       | 0.6229     | 0.0131     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2077       | 0.8104     | 0.0502     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2078       | 0.6407     | 0.0691     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2079       | 0.2166     | 0.1191     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
2080       | 0.2610     | 0.0621     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2081/2     | 0.1190     | 0.0197     | 10.20      | baseline                  | Baseline flagging (area ratio)
2084       | 0.1838     | 0.0200     | 10.44      | baseline                  | Baseline flagging (area ratio)
2085       | 0.2111     | 0.0619     | 10.20      | baseline                  | Baseline flagging (area ratio)
2086       | 0.2223     | 0.0952     | 10.20      | baseline                  | Baseline flagging (area ratio)
2088       | 0.4783     | 0.0033     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2089       | 0.6495     | 0.0229     | 10.20      | baseline                  | Baseline flagging (overlap violation)
209        | 0.8052     | 0.0124     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0124 < 0.035)
2090/1     | 0.8063     | 0.0316     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0316 < 0.035)
2090/10    | 0.5475     | 0.0645     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2090/2     | 0.7283     | 0.0307     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0307 < 0.035)
2090/3     | 0.6545     | 0.0108     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0108 < 0.035)
2090/4     | 0.2576     | 0.0203     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2090/5     | 0.1942     | 0.0156     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2090/6     | 0.6813     | 0.1046     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2090/7     | 0.1932     | 0.0577     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2090/8     | 0.8195     | 0.0537     | 10.05      | baseline                  | Baseline flagging (overlap violation)
2090/9     | 0.4428     | 0.0609     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
2091       | 0.2056     | 0.0000     | 10.20      | baseline                  | Baseline flagging (area ratio)
2092/A     | 0.1713     | 0.0354     | 10.20      | baseline                  | Baseline flagging (area ratio)
2092/B     | 0.1439     | 0.0225     | 10.20      | baseline                  | Baseline flagging (area ratio)
2093       | 0.8600     | 0.0252     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0252 < 0.035)
2094/C     | 0.8333     | 0.0269     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0269 < 0.035)
2095/B     | 0.8292     | 0.0139     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0139 < 0.035)
2097       | 0.8589     | 0.1413     | 10.20      | baseline                  | Baseline flagging (overlap violation)
2098       | 0.2541     | 0.0391     | 10.20      | baseline                  | Baseline flagging (area ratio)
2099       | 0.8380     | 0.0816     | 10.20      | baseline                  | Baseline flagging (overlap violation)
21         | 0.2239     | 0.0306     | 10.20      | baseline                  | Baseline flagging (area ratio)
